Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
Wiingy,Undisclosed,2000000,2021,Aroa Ventures,Education,Bangalore
CarDekho,Series E,18000000,2021,Unknown,Transportation and Mobility,Jaipur
Melorra,Undisclosed,2000000,2021,9Unicorns,E-Commerce and Retail,Bangalore
AnKa SumMor,Pre-Series A,5601843,2021,Inflection Point Ventures,Marketing and Advertising,Bangalore
Toch.ai,Series A,5032439,2021,Unknown,Technology,Mumbai
Playto Labs,Seed Round,955981,2021,Inflection Point Ventures,Education,Bangalore
Fraazo,Series B,2500000,2021,WestBridge Capital,Agriculture and Food,Mumbai
Arcana,Undisclosed,2000000,2021,Republic Crypto,Professional Services,Bangalore
FloCareer,Series A,5032439,2021,Data Point Capital,Professional Services,Bangalore
Nap Chief,Seed Round,955981,2021,Titan Capital,Consumer Goods,Mumbai
AcknoLedger,Seed Round,955981,2021,Momentum 6,Finance and FinTech,Mumbai
ApplicateAI,Series A,5032439,2021,Unknown,Professional Services,Gurugram
VLCC Health Care,Undisclosed,2000000,2021,Unknown,Healthcare and Wellness,Gurugram
Duroflex,Undisclosed,2000000,2021,Norwest Venture Partners,Technology,Bangalore
Aviom India,Series C,79903750,2021,Sabre Partners,Professional Services,Bhilwara
Onato,Undisclosed,2000000,2021,Vertex Ventures,Technology,Bangalore
Mestastop Solutions,Undisclosed,2000000,2021,CIIE.CO,Healthcare and Wellness,Bangalore
SaaS Labs,Series A,5032439,2021,Base 10 Partners,Technology,Noida
Devnagri,Seed Round,955981,2021,enture Catalyst,Media and Entertainment,Noida
CRED,Series E,18000000,2021,Tiger Global,Finance and FinTech,Bangalore
ConveGenius,Pre-Seed,8556808,2021,BAce Capital,Education,Noida
Totality,Undisclosed,2000000,2021,Leo Capital,Media and Entertainment,Gurugram
CredAble,Series B,2500000,2021,Plutus Wealth,Professional Services,Mumbai
MarketWolf,Seed Round,955981,2021,Anil Thadani,Professional Services,Mumbai
Wondrlab,Pre-Series A,5601843,2021,Pi Ventures LLP,Marketing and Advertising,Mumbai
SUN Mobility,Undisclosed,2000000,2021,Vitol,Transportation and Mobility,Bangalore
Tamasha,Pre-Series A,4428638,2021,Chiratae Ventures,Media and Entertainment,Mumbai
Revfin,Pre-Series A,12250186,2021,Ruchirans Jaipuria,Professional Services,New Delhi
Yu Foodlabs,Pre-Series A,10325380,2021,Manish Choksi,Agriculture and Food,Gurugram
MergerDomo,Undisclosed,2000000,2021,Nadir B Godrej,Finance and FinTech,New Delhi
FarMart,Series A,5032439,2021,Matrix Partners India,Agriculture and Food,Gurugram
Questt,Series A,5032439,2021,Celesta Capital,Education,Gurugram
IDfy,Series D,100000000,2021,TransUnion,Professional Services,Mumbai
ClearDekho,Pre-Series A,11262932,2021,Aroa Ventures,E-Commerce and Retail,Ghaziabad
BookingJini,Pre-Series A,6671339,2021,Mumbai Angels Network,Technology,Gurugram
Sourcewiz,Seed Round,955981,2021,Blume,Professional Services,Gurugram
Tvasta,Undisclosed,2000000,2021,Habitat for Humanity International,Industrial and Manufacturing,Chennai
Kafqa Academy,Seed Round,955981,2021,Global Founders Capital,Education,Bangalore
Trell,Undisclosed,2000000,2021,Amazon,E-Commerce and Retail,Bangalore
Storia,Series A,5032439,2021,Sixth Sense Ventures,Agriculture and Food,Mumbai
Clear,Series C,79903750,2021,Kora Capital,Technology,Bangalore
Groww,Series E,18000000,2021,Iconiq Growth,Finance and FinTech,Bangalore
The Indus Valley,Undisclosed,2000000,2021,Rukam Capital,E-Commerce and Retail,Chennai
BharatPe,Undisclosed,2000000,2021,MAS Financial Services,Professional Services,New Delhi
Teachmint,Series B,2500000,2021,Rocketship.vc,Education,Bangalore
Porter,Series E,18000000,2021,Tiger Global,Transportation and Mobility,Bangalore
O4S,Series A,5032439,2021,Think Investments,Professional Services,Gurugram
Wobb,Pre-Seed,5601843,2021,Alok Kohli,Marketing and Advertising,Gurugram
BASIC Home Loan,Series A,5032439,2021,Venture Catalysts,Professional Services,Gurugram
Siply,Pre-Series A,12250186,2021,LetsVenture,Professional Services,Bangalore
BankSathi,Undisclosed,2000000,2021,Dinesh Godara,Professional Services,New Delhi
Gramophone,Undisclosed,2000000,2021,Z3Partners,Agriculture and Food,Indore
Healofy,Series B,2500000,2021,Celesta Capital,Technology,Bangalore
E42,Series A,5032439,2021,Pavestone Ventures,Technology,Pune
Spottabl,Seed Round,955981,2021,LetsVenture,Professional Services,Bangalore
DeHaat,Series D,100000000,2021,Sofina,Professional Services,Patna
Shumee,Undisclosed,2000000,2021,Dia Mirza,E-Commerce and Retail,Bangalore
Zolve,Series A,5032439,2021,DST Global,Professional Services,Bangalore
Instoried,Undisclosed,2000000,2021,Pritt Investment Partners,Technology,Bangalore
SportZchain,Pre-Seed,4428638,2021,Darq Capital,Media and Entertainment,Mumbai
Hypto,Seed Round,955981,2021,Stellaris Venture Partners,Technology,Chennai
CHUPPS,Pre-Series A,11262932,2021,Venture Catalysts,E-Commerce and Retail,Mumbai
Zenduty,Pre-Series A,6671339,2021,StartupXseed Ventures,Technology,Bangalore
R for Rabbit,Undisclosed,2000000,2021,Xponentia Capital Partners,E-Commerce and Retail,Ahmedabad
Acko,Series D,100000000,2021,General Atlantic,Finance and FinTech,Bangalore
LoveLocal,Pre-Series A,11262932,2021,Vulcan Capital,E-Commerce and Retail,Mumbai
SupplyNote,Pre-Series A,10325380,2021,Venture Catalysts,Agriculture and Food,Noida
Vakilsearch,Undisclosed,2000000,2021,InCorp India,Professional Services,Chennai
Cloudphysician,Pre-Series A,7462445,2021,Elevar Equity,Healthcare and Wellness,Bangalore
Wiggles.in,Pre-Series A,7462445,2021,Anthill Ventures,Healthcare and Wellness,Pune
Avanti Finance,Series A,5032439,2021,Oikocredit,Professional Services,Bangalore
Vanity Wagon,Pre-Series A,11262932,2021,Inflection Point Ventures,E-Commerce and Retail,New Delhi
Purplle,Undisclosed,2000000,2021,Kedaara,E-Commerce and Retail,Mumbai
Wallmantra,Undisclosed,2000000,2021,Velocity,E-Commerce and Retail,Noida
MFine,Series C,79903750,2021,Moore Strategic Ventures,Healthcare and Wellness,Bangalore
Aquatein,Seed Round,955981,2021,Eaglewings Ventures,Agriculture and Food,Mumbai
Mentza,Seed Round,955981,2021,Inflection Point Ventures,Education,Mumbai
ConnectedH,Seed Round,955981,2021,Kalaari Capital,Healthcare and Wellness,Gurugram
CredAvenue,Series A,5032439,2021,Sequoia Capital,Finance and FinTech,Chennai
Vedantu,Series E,18000000,2021,ABC World Asia,Education,Bangalore
Exotel,Series C,79903750,2021,IIFL AMC,Technology,Bangalore
Fantasy Akhada,Series A,5032439,2021,Prime Securities Limited,Media and Entertainment,Gurugram
Meesho,Undisclosed,2000000,2021,Fidelity,E-Commerce and Retail,Bangalore
PumPumPum,Undisclosed,2000000,2021,LC Nueva AIF,Transportation and Mobility,Gurugram
Cusmat,Pre-Series A,6671339,2021,We Founder Circle,Technology,Hyderabad
Homeville,Undisclosed,2000000,2021,9Unicorns,Professional Services,Mumbai
Coinshift,Seed Round,955981,2021,Sequoia Capital,Finance and FinTech,Chandigarh
Strip Finance,Seed Round,955981,2021,Old Fashion Research,Professional Services,Hyderabad
Ola Electric,Undisclosed,2000000,2021,Falcon Edge,Transportation and Mobility,Bangalore
Kolo,Pre-Seed,15752071,2021,Better Capital,Real Estate and Construction,Bangalore
Chqbook,Pre-Series A,11640232,2021,Aavishkaar Capital,Finance and FinTech,Gurugram
My3DSelfie,Pre-Series A,11262932,2021,NEVF,E-Commerce and Retail,Guwahati
EV Plugs,Undisclosed,2000000,2021,Unknown,Professional Services,Gurugram
Rulezero,Seed Round,955981,2021,The Treasury,Professional Services,Bangalore
CredRight,Undisclosed,2000000,2021,9Unicorns,Professional Services,Hyderabad
Karbon Card,Pre-Series A,11640232,2021,Ramp,Finance and FinTech,Bangalore
Auntie Fung,Undisclosed,2000000,2021,India Angel Network,Agriculture and Food,Bangalore
ePayLater,Series B,2500000,2021,Responsibility,Professional Services,Mumbai
Fittr,Series A,5032439,2021,Dream Capital,Healthcare and Wellness,Pune
Medikabazaar,Series C,79903750,2021,CDC Group,Healthcare and Wellness,Mumbai
Nimble Growth Organics,Seed Round,955981,2021,Unknown,Agriculture and Food,Bangalore
Delhivery,Undisclosed,2000000,2021,Lee Fixel’s venture capital firm,Transportation and Mobility,Gurugram
Akudo,Seed Round,955981,2021,Y Combinator,Professional Services,Bangalore
Sanctum Wealth,Undisclosed,2000000,2021,The Xander Group,Finance and FinTech,Mumbai
88academics,Pre-Series A,8556808,2021,Aarin Capital,Education,New Delhi
Upgame,Undisclosed,2000000,2021,James Milner,Media and Entertainment,Gurugram
Sanfe,Series A,5032439,2021,LetsVenture,Healthcare and Wellness,New Delhi
PredictiVu,Pre-Seed,12250186,2021,Kunal Sarkar,Professional Services,Gurugram
Sterling Accuris Wellness,Undisclosed,2000000,2021,Morgan Stanley Private Equity Asia,Healthcare and Wellness,Ahmedabad
Bijnis,Series B,2500000,2021,Westbridge Capital,E-Commerce and Retail,New Delhi
